codigo_municipio_dv_agrupado,municipio_agrupado,uf,ano,vitimas_feminicidio,vitimas_homicidio_doloso,vitimas_lesao_corporal_seguida_de_morte,Mandado de prisão cumprido,vitimas_transito_ou_decorrencia_dele,vitimas_sem_indicio_de_crime,vitimas_latrocinio,vitimas_suicidios,Tentativa de feminicídio,vitimas_tentativa_homicidio,vitimas_totais,ano_pib,codigo_municipio_dv,vl_agropecuaria,vl_industria,vl_servicos,vl_administracao,vl_bruto_total,vl_subsidios,vl_pib,vl_pib_per_capta,CO_MUNICIPIO,Total_Habitantes
5215603,PADRE BERNARDO,GO,2017,0.0,10.0,0.0,0.0,9.0,3.0,1.0,2.0,0.0,8.0,33.0,2017,5215603,142593.795,29455.439,159785.904,130761.394,462596.532,23615.008,486211.54,15124.16,5215603,34967
5215603,PADRE BERNARDO,GO,2018,0.0,9.0,0.0,0.0,17.0,2.0,0.0,1.0,0.0,12.0,41.0,2018,5215603,149464.835,33866.441,178496.957,137906.631,499734.863,31398.911,531133.774,15984.52,5215603,34967
5215603,PADRE BERNARDO,GO,2019,0.0,11.0,0.0,0.0,7.0,1.0,1.0,0.0,1.0,17.0,37.0,2019,5215603,195240.489,41491.707,194985.927,156874.411,588592.534,36082.979,624675.514,18462.41,5215603,34967
5215603,PADRE BERNARDO,GO,2020,0.0,6.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,18.0,32.0,2020,5215603,328114.809,42186.358,207355.479,152631.427,730288.073,40870.384,771158.457,22397.86,5215603,34967
5215603,PADRE BERNARDO,GO,2021,0.0,11.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,11.0,32.0,2021,5215603,501946.207,58677.372,267668.751,166561.344,994853.673,57295.325,1052148.998,30051.96,5215603,34967
5217302,PIRENÓPOLIS,GO,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,5217302,70360.477,35492.193,159689.162,85009.522,350551.354,23382.952,373934.307,15297.59,5217302,26690
5217302,PIRENÓPOLIS,GO,2016,0.0,5.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,12.0,25.0,2016,5217302,66908.145,19956.843,153510.313,88682.864,329058.164,18117.84,347176.005,14110.55,5217302,26690
5217302,PIRENÓPOLIS,GO,2017,0.0,5.0,0.0,0.0,18.0,5.0,0.0,1.0,0.0,11.0,40.0,2017,5217302,61180.39,39785.271,189559.552,96841.535,387366.748,25229.0,412595.748,16663.13,5217302,26690
5217302,PIRENÓPOLIS,GO,2018,0.0,4.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,7.0,21.0,2018,5217302,77450.066,26865.311,214060.763,99845.055,418221.194,27893.631,446114.826,18025.57,5217302,26690
5217302,PIRENÓPOLIS,GO,2019,0.0,8.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,9.0,23.0,2019,5217302,98101.545,37585.761,244994.438,110905.311,491587.055,32509.995,524097.05,21041.31,5217302,26690
